데이터,라벨,1 평어,2 왕,3 신하
것입니다,,,,
많았다,,,,
상소(上疏)하였다,,,,
합니다,,,,
것입니다,,,,
알겠습니까,,,,
처리하겠습니까,,,,
결정되겠습니까,,,,
것입니다,,,,
보이소서,,,,
아뢰었다,,,,
아뢰었다,,,,
어찌하겠습니까,,,,
대답하였다,,,,
진휼하라,,,,
"""",,,,
말하였다,,,,
되겠습니다,,,,
것입니다,,,,
이유입니다,,,,
예(例)입니다,,,,
감손(減損)되었습니다,,,,
있겠습니까,,,,
하겠습니까,,,,
것입니다,,,,
바랍니다,,,,
주었다,,,,
